"Tabela 647 - Custo de projeto m², por tipo de projeto e padrão de acabamento"
"Variável - Custo de projeto m² (Reais)"
"Unidade da Federação - Minas Gerais"
"Padrão de acabamento - Baixo"
"Mês";"Tipo de projeto"
"Mês";"CP.1-2Q.....46 Casa popular, 1 pavimento, varanda, sala, 2 quartos, circulação, banheiro e cozinha";"CP.1-2Q.....40 Casa popular, 1 pavimento, sala, 2 quartos, circulação, banheiro e cozinha";"CR.1-2Q.....62 Casa residencial, 1 pavimento, varanda, sala,2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"CR.1-3Q....104 Casa residencial, 1 pavimento, varanda, sala,3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada";"CR.1-4Q....122 Casa residencial, 1 pavimento, varanda, sala,4 quartos, circulação, 2 banheiros, cozinha, área de serviço, quarto e WC de empregada";"EA.1-US.....04 Especificação tipo ""A"", 1 pavimento, somente unidade sanitária";"EB.1-US.....03 Especificação tipo ""B"", 1 pavimento, somente unidade sanitária";"EA.1-0Q.....22 Especificação tipo ""A"", 1 pavimento, sala, cozinha e banheiro";"EB.1-0Q.....22 Especificação tipo ""B"", 1 pavimento, sala, cozinha e banheiro";"EA.1-1Q.....30 Especificação tipo ""A"", 1 pavimento, sala, 1 quarto, cozinha e banheiro";"EB.1-1Q.....32 Especificação tipo ""B"", 1 pavimento, sala, 1 quarto, cozinha e banheiro";"EA.2-2Q.....38 Especificação tipo ""A"", 1 pavimento, sala, 2 quartos, cozinha e banheiro";"EB.1-2Q.....39 Especificação tipo ""B"", 1 pavimento, sala, 2 quartos, cozinha e banheiro";"EB.2-2Q.....45 Especificação tipo ""B"", 2 pavimentos, sala, 2 quartos, cozinha e banheiro";"CP.1-1Q.....30 Casa popular, 1 pavimento, sala, 1 quarto, circulação, banheiro e cozinha";"CP.2-3Q.....56 Casa popular, 2 pavimentos, sala, 3 quartos, circulação, banheiro e cozinha";"CR.2-2Q.....81 Casa residencial, geminada, 2 pavimentos, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"PR5-2QT...2125 Prédio residencial, térreo, 5 pavimentos tipo, sala, 2 quartos, banheiro, cozinha e área de serviço";"PR4-2QT...1433 Prédio residencial, térreo, 4 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"PR4-3QT...2264 Prédio residencial, térreo, 4 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada";"PR4-2QP...1643 Prédio residencial, pilotis, 4 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"PR4-3QP...2520 Prédio residencial, pilotis, 4 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada";"PR6-3QP...7181 Prédio residencial, pilotis, 6 pavimentos tipo, sala, 3 quartos, circulação, 2 banheiros, copa-cozinha, área de serviço, quarto e WC de empregada";"PR8-2QP...2620 Prédio residencial, pilotis, 8 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"PR8-3QP...4266 Prédio residencial, pilotis, 8 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada";"PR8-3QP...3176 Prédio residencial, pilotis, 8 pavimentos tipo, 2 salas, 3 quartos, circulação, 2 banheiros, lavabo, copa-cozinha, área de serviço, quarto e WC de empregada";"PR12-2QP..3597 Prédio residencial, pilotis, 12 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"PR12-3QP..6013 Prédio residencial, pilotis, 12 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada";"PR12-4QP..4050 Prédio residencial, pilotis, 12 pavimentos tipo, sala, 4 quartos, circulação, 2 banheiros, lavabo, copa-cozinha, área de serviço, quarto e WC de empregada";"PR18-4QP..5870 Prédio residencial, pilotis, 18 pavimentos tipo, sala, 4 quartos, circulação, 2 banheiros, lavabo, copa-cozinha, área de serviço, quarto e WC de empregada";"PC.12-LA..8192 Prédio comercial, 12 pavimentos, lojas e salas autônomas";"PC.18-LA.11072 Prédio comercial, 18 pavimentos, lojas e salas autônomas";"PC.12-LC..6862 Prédio comercial, 12 pavimentos, lojas e andar corrido";"PC.18-LC.10111 Prédio comercial, 18 pavimentos, lojas e andar corrido";"CB-M........31 Projeto-tipo cesta básica, materiais, sala, quarto, circulação, banheiro e cozinha";"CB-MMIN.....23 Projeto-tipo cesta básica, materiais mínimos, sala, circulação, banheiro e cozinha";"CB-M........23 Projeto-tipo cesta básica, materiais, sala, circulação, banheiro e cozinha";"CB-MMO......31 Projeto-tipo cesta básica, materiais e mão-de-obra, sala, quarto, circulação, banheiro e cozinha";"CB-MMO......23 Projeto-tipo cesta básica, materiais e mão-de-obra, sala, circulação, banheiro e cozinha"
"abril 2000";"228,69";"256,05";"260,46";"216,19";"203,40";"-";"-";"303,25";"300,56";"270,45";"275,00";"242,98";"257,84";"245,61";"276,66";"253,71";"220,62";"194,31";"258,07";"234,55";"229,05";"215,49";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"maio 2000";"229,56";"256,99";"261,21";"216,97";"204,14";"-";"-";"304,01";"301,29";"271,16";"275,67";"243,65";"258,51";"246,08";"277,68";"254,43";"221,22";"194,17";"258,37";"234,80";"229,26";"215,69";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"junho 2000";"230,24";"257,73";"262,21";"217,51";"204,66";"-";"-";"304,68";"301,93";"271,79";"276,28";"244,23";"259,07";"246,52";"278,47";"254,99";"221,58";"194,52";"258,74";"235,11";"229,57";"215,94";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"julho 2000";"230,72";"258,26";"262,78";"217,94";"205,06";"-";"-";"305,32";"302,53";"272,39";"276,85";"244,76";"259,59";"246,89";"279,05";"255,42";"221,91";"194,78";"258,94";"235,30";"229,74";"216,11";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"agosto 2000";"231,52";"259,14";"263,72";"218,83";"205,85";"-";"-";"306,17";"303,28";"273,04";"277,47";"245,28";"260,14";"247,48";"280,04";"256,23";"222,75";"195,31";"259,82";"236,18";"230,41";"216,85";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"setembro 2000";"231,61";"259,24";"263,67";"218,87";"205,90";"-";"-";"306,68";"303,70";"273,47";"277,86";"245,68";"260,52";"247,77";"280,16";"256,35";"222,86";"195,53";"259,95";"236,30";"230,54";"216,97";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"outubro 2000";"231,07";"258,66";"263,22";"218,43";"205,46";"-";"-";"306,39";"303,25";"273,30";"277,45";"245,58";"260,09";"247,32";"279,57";"255,76";"222,34";"195,00";"259,57";"235,90";"230,09";"216,40";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"novembro 2000";"231,33";"258,93";"263,41";"218,69";"205,70";"-";"-";"306,61";"303,48";"273,54";"277,68";"245,82";"260,34";"247,54";"279,83";"255,97";"222,56";"195,19";"259,81";"236,13";"230,31";"216,62";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"dezembro 2000";"232,73";"260,45";"265,10";"220,05";"206,97";"-";"-";"308,11";"304,92";"274,81";"279,00";"246,89";"261,55";"248,55";"281,49";"257,26";"223,58";"195,95";"260,53";"236,80";"230,88";"217,25";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"janeiro 2001";"241,04";"269,88";"274,69";"227,97";"214,38";"-";"-";"319,67";"316,70";"285,17";"289,84";"256,18";"271,65";"259,00";"291,61";"267,31";"232,08";"202,89";"270,51";"245,95";"239,78";"225,66";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"fevereiro 2001";"242,63";"271,71";"276,48";"229,49";"215,79";"-";"-";"322,04";"318,88";"287,21";"291,72";"257,99";"273,36";"260,83";"293,65";"268,82";"233,57";"204,06";"271,93";"247,21";"240,99";"226,75";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"março 2001";"240,12";"268,90";"274,11";"227,05";"213,19";"-";"-";"324,25";"320,95";"289,30";"293,74";"259,91";"275,31";"262,69";"291,05";"268,04";"232,13";"204,99";"272,49";"247,50";"241,52";"227,12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"abril 2001";"240,88";"269,82";"275,17";"227,88";"213,96";"-";"-";"325,06";"321,77";"290,09";"294,54";"260,69";"276,12";"263,52";"291,97";"269,17";"233,27";"206,11";"274,06";"248,86";"242,95";"228,37";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"maio 2001";"240,93";"269,94";"275,33";"227,91";"213,95";"-";"-";"325,42";"322,06";"290,29";"294,74";"260,77";"276,23";"264,10";"292,18";"269,75";"233,77";"206,77";"275,06";"249,72";"243,83";"229,17";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"junho 2001";"242,37";"271,51";"276,74";"229,24";"215,25";"-";"-";"327,95";"324,24";"292,56";"296,76";"262,86";"278,17";"265,67";"293,85";"271,25";"235,23";"208,79";"277,31";"251,80";"245,92";"231,09";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"julho 2001";"244,44";"273,86";"279,47";"231,24";"217,08";"-";"-";"330,89";"327,00";"295,19";"299,35";"265,19";"280,57";"268,15";"296,38";"273,55";"237,18";"210,41";"279,20";"253,50";"247,50";"232,61";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"agosto 2001";"245,32";"274,84";"280,39";"232,11";"217,93";"-";"-";"332,86";"328,48";"296,81";"300,72";"266,59";"281,89";"269,36";"297,43";"274,95";"238,61";"212,30";"281,35";"255,54";"249,65";"234,67";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"setembro 2001";"247,34";"277,10";"282,82";"234,01";"219,72";"-";"-";"336,33";"331,37";"299,73";"303,44";"269,08";"284,41";"271,93";"299,82";"277,47";"240,88";"214,61";"283,83";"257,90";"251,86";"236,88";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"outubro 2001";"247,73";"277,54";"283,16";"234,38";"220,08";"-";"-";"336,99";"331,79";"300,27";"303,80";"269,57";"284,76";"272,29";"300,27";"277,86";"241,31";"215,46";"284,81";"258,75";"252,77";"237,66";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
